"","FIPS","State","Life.Expectancy","Residential.Segregation.Index","Percent.Limited.Access.Healthy.Foods","Percent.Uninsured.Adults","School.Funding.Adequacy","Median.Household.Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"204",6023,"California",76.4417762,71.876233537,4.5402601268,8.7550484161,-5287.681856,57660,"0",1993,"West","Pacific"
"205",6025,"California",77.448199817,59.295540843,7.6487355607,10.551182738,-11029.84063,55523,"0",1608,"West","Pacific"
"206",6027,"California",77.034281314,79.332211641,7.7716449439,9.3108942442,2320.993,64332,"1",2007,"West","Pacific"
"207",6029,"California",74.924741666,52.394966551,7.8299011918,11.641174276,-10488.2164,65981,"0",2059,"West","Pacific"
"208",6031,"California",77.328676491,36.31533949,6.8228258687,9.6880924941,-3791.177031,63683,"0",1547,"West","Pacific"
"209",6033,"California",74.634465498,61.71835632,1.8896755599,10.181355393,-2806.652926,51848,"0",1684,"West","Pacific"
"210",6035,"California",76.492909301,43.531334593,9.3014496691,7.2850832484,-771.4490556,60308,"0",1422,"West","Pacific"
"211",6037,"California",80.055852613,58.708656227,1.4529508488,12.337392824,-2271.866507,82455,"0",3938,"West","Pacific"
"212",6039,"California",77.365887046,61.393945176,5.4188903903,13.956814617,-5012.195714,71273,"0",1786,"West","Pacific"
"213",6041,"California",84.703879478,61.67055018,1.1658245282,5.5416515246,1838.3332886,135960,"1",7433,"West","Pacific"
"214",6043,"California",78.512311572,NA,2.6113538803,8.484519283,585.4258,66513,"1",1918,"West","Pacific"
"215",6045,"California",77.247675093,82.940311673,5.9221340266,11.445831494,-4149.636667,63621,"0",2464,"West","Pacific"
"216",6047,"California",76.885047459,46.244812013,7.7115431857,12.450953637,-14248.36132,65253,"0",1710,"West","Pacific"
"217",6049,"California",75.799244181,65.600465252,17.175960327,10.531012941,-3343.223,51166,"0",1167,"West","Pacific"
"218",6051,"California",98.902937928,NA,17.237467154,11.85500059,3846.5315,79105,"1",2554,"West","Pacific"
"219",6053,"California",81.298455227,57.906124633,5.0809179784,15.496201061,-8644.799737,91450,"0",3372,"West","Pacific"
"220",6055,"California",81.353002523,69.191314457,2.6299629965,8.9365280584,2787.3836667,98580,"1",4105,"West","Pacific"
"221",6057,"California",79.977868852,79.163188189,8.6130407022,7.2771397921,1495.4951875,80069,"1",3135,"West","Pacific"
"222",6059,"California",81.777468014,49.241691942,1.1212585853,9.4108411774,-625.0222519,106047,"0",4499,"West","Pacific"
"223",6061,"California",81.770060302,52.43923345,5.1065319918,4.5956925218,1925.7786643,106114,"1",4062,"West","Pacific"
"224",6063,"California",77.467381788,74.361303509,1.0710775193,6.9279148524,2191.089,66725,"1",1629,"West","Pacific"
"225",6065,"California",78.530495952,42.42254316,6.9654696598,11.60140539,-2768.401536,86350,"0",3144,"West","Pacific"
"226",6067,"California",78.42732168,46.544834689,4.2269674461,7.3416878889,-3204.976618,83985,"0",2687,"West","Pacific"
"227",6069,"California",80.422762074,53.057969294,2.6969636936,9.2152010389,-4947.0244,106560,"0",4089,"West","Pacific"
