"","FIPS","State","Life Expectancy","Residential.Segregation.Index","% Limited Access to Healthy Foods","% Uninsured Adults","Spending per Pupil","School.Funding.Adequacy","Median Household Income","School.Funding.Cat","Median.Prop.Tax","Region","Division"
"140",5115,"Arkansas",75.680987066,43.160637594,9.3706147103,15.103576071,10539.2,-4221.755,57881,"0",767,"South","West South Central"
"141",5117,"Arkansas",74.238284556,22.36322705,2.1533284376,13.28213237,10732,-5555.8265,51017,"0",458,"South","West South Central"
"142",5119,"Arkansas",74.321537474,49.468773245,12.881455409,12.770937872,13189.666667,-12719.133,57057,"0",1256,"South","West South Central"
"143",5121,"Arkansas",73.36154664,34.543182167,9.379769487,13.930395309,9765.5,-7155.214,45638,"0",364,"South","West South Central"
"144",5123,"Arkansas",72.509917377,48.683003472,19.296337932,15.333139366,9989.5,-17614.3475,38062,"0",366,"South","West South Central"
"145",5125,"Arkansas",75.937941555,42.55730551,7.6862535531,10.001923447,9140,-696.806825,70330,"0",1097,"South","West South Central"
"146",5127,"Arkansas",71.470840204,NA,20.810097776,12.890341322,11079,-3408.9455,42599,"0",376,"South","West South Central"
"147",5129,"Arkansas",73.630319799,NA,14.640397097,13.22160149,12190.5,-2533.8967,38070,"0",411,"South","West South Central"
"148",5131,"Arkansas",74.201774106,54.466502035,5.4921140061,16.185810677,10395.25,-3983.5284,52679,"0",798,"South","West South Central"
"149",5133,"Arkansas",73.27372182,34.647549091,13.395401558,24.211938296,12076.5,-6559.0735,49384,"0",440,"South","West South Central"
"150",5135,"Arkansas",73.689087498,69.010007759,17.99477855,13.815858385,10816.5,-2837.7725,45740,"0",419,"South","West South Central"
"151",5137,"Arkansas",74.753493152,NA,10.840695297,15.336391437,11748,-4055.435,41063,"0",408,"South","West South Central"
"152",5139,"Arkansas",70.77122916,43.851071617,12.2015618,12.584781195,11595.6,-5752.15714,50258,"0",554,"South","West South Central"
"153",5141,"Arkansas",74.96849993,NA,6.7285462684,14.552628525,12522.666667,-4012.655333,47150,"0",555,"South","West South Central"
"154",5143,"Arkansas",77.145340793,50.316018732,5.3029342646,15.032867466,10365.875,-1781.488039,62100,"0",1190,"South","West South Central"
"155",5145,"Arkansas",73.751771229,51.509700316,9.1191117324,13.959779962,10442.625,-3004.882938,56866,"0",604,"South","West South Central"
"156",5147,"Arkansas",73.036885602,17.666460524,3.227311218,11.952554745,13608.5,-13768.8685,41225,"0",393,"South","West South Central"
"157",5149,"Arkansas",74.071574933,64.353585816,7.7791137584,17.22307824,10892.25,-8289.78025,50275,"0",726,"South","West South Central"
"158",6001,"California",82.203733125,51.472073649,1.117399283,5.8081056722,14412,136.58311765,121190,"1",5539,"West","Pacific"
"159",6003,"California",NA,NA,16.785138519,8.2728592163,NA,NA,71646,NA,2877,"West","Pacific"
"160",6005,"California",78.816769487,58.872195644,0.0956320635,6.4967895242,11146,37.75488,74356,"1",2179,"West","Pacific"
"161",6007,"California",76.553001245,68.409961231,6.4508673972,9.0020066147,14089.090909,-1987.262455,63353,"0",1835,"West","Pacific"
"162",6009,"California",78.620318565,85.024129919,5.9895027663,7.8350351623,14944.75,266.622675,73175,"1",2408,"West","Pacific"
"163",6011,"California",79.507424274,38.781666414,12.356254156,14.053066412,13892,-8466.005,72963,"0",1703,"West","Pacific"
"164",6013,"California",81.558972184,56.175090144,2.8674706151,6.0955066415,12925.058824,-289.9653647,119667,"0",4941,"West","Pacific"
"165",6015,"California",74.614696887,54.487248467,14.445116634,10.385080789,13668,-1551.175,57297,"0",1493,"West","Pacific"
"166",6017,"California",81.127153894,64.825090908,4.258567239,5.5599449598,12309.769231,-477.5575308,104859,"0",3312,"West","Pacific"
"167",6019,"California",76.637940556,45.872341032,5.3493111124,9.879365101,15112,-17310.74829,68693,"0",1948,"West","Pacific"
"168",6021,"California",76.244868451,NA,8.7453033087,14.667165762,11776.5,-6490.545,63247,"0",1668,"West","Pacific"
"169",6023,"California",76.4417762,71.876233537,4.5402601268,8.7550484161,12970.65,-5287.681856,57660,"0",1993,"West","Pacific"
"170",6025,"California",77.448199817,59.295540843,7.6487355607,10.551182738,14980.133333,-11029.84063,55523,"0",1608,"West","Pacific"
"171",6027,"California",77.034281314,79.332211641,7.7716449439,9.3108942442,22281.5,2320.993,64332,"1",2007,"West","Pacific"
"172",6029,"California",74.924741666,52.394966551,7.8299011918,11.641174276,14341.097561,-10488.2164,65981,"0",2059,"West","Pacific"
"173",6031,"California",77.328676491,36.31533949,6.8228258687,9.6880924941,13145.923077,-3791.177031,63683,"0",1547,"West","Pacific"
